"medicamento_id";"posto_id";"quantidade_estoque"
"432b959a-cb62-495c-811c-f112b187a560";"4038d3ce-1a39-4dab-bb71-3dd7ccd23fcf";10
"432b959a-cb62-495c-811c-f112b187a560";"18f08568-f9f5-40ff-8982-2688721fbe5c";27
"432b959a-cb62-495c-811c-f112b187a560";c296a085-57b6-48a1-a8db-23b6a3330084;36
"432b959a-cb62-495c-811c-f112b187a560";"84f3473b-29b9-4409-8629-cf7c35f0324c";91
"432b959a-cb62-495c-811c-f112b187a560";"74734eff-5e04-4c7b-969a-305841ee6f6b";97
"432b959a-cb62-495c-811c-f112b187a560";b3a64a7b-3785-410d-8088-3ed66b65951f;49
"432b959a-cb62-495c-811c-f112b187a560";"68e644fe-3e0f-4bf5-90a9-31fb0e084341";16
"432b959a-cb62-495c-811c-f112b187a560";eae847d1-cf27-4266-a83f-a5d4c2b8202d;39
"432b959a-cb62-495c-811c-f112b187a560";"6c17164c-69b3-402d-9ab5-0ad5e71ad2fb";78
"432b959a-cb62-495c-811c-f112b187a560";abe65b39-1e3b-43a6-a208-02e83700afc5;12
"432b959a-cb62-495c-811c-f112b187a560";"87890a58-2643-4a8d-9a93-c83d9f29342a";70
"432b959a-cb62-495c-811c-f112b187a560";"81775791-0811-4261-be95-ea080c0caf32";75
"432b959a-cb62-495c-811c-f112b187a560";be0efdf0-cd3f-4729-8d7a-5e5d53b86b7f;81
"432b959a-cb62-495c-811c-f112b187a560";"6f10b5d9-d6c2-4c4a-a6c7-ea87cee97481";27
"5df9f7e1-405b-4441-bbe2-3353ec68b8c5";"251e18ed-0c76-4885-9f03-fa9530ab46d3";91
"5df9f7e1-405b-4441-bbe2-3353ec68b8c5";"940dddf2-cd23-497d-bcf7-3c5c60c26a5c";15
"5df9f7e1-405b-4441-bbe2-3353ec68b8c5";ea6c8e01-96ca-4639-b9af-8a56132d7b5c;39
"5df9f7e1-405b-4441-bbe2-3353ec68b8c5";"9687a3fd-7711-41f9-af04-84ba3ad743f6";34
"5df9f7e1-405b-4441-bbe2-3353ec68b8c5";ace4202a-e6b3-4f7a-9769-8acbaba416c2;97
"5df9f7e1-405b-4441-bbe2-3353ec68b8c5";"8a6b47ac-ee4e-4839-8498-13f7bb0cc78d";23
"5df9f7e1-405b-4441-bbe2-3353ec68b8c5";"331e681e-3bb4-4027-86bf-f4362421700b";55
"5df9f7e1-405b-4441-bbe2-3353ec68b8c5";a7053e7b-1c15-4df7-a0ae-fb811ff7e3cf;39
"5df9f7e1-405b-4441-bbe2-3353ec68b8c5";"6c17164c-69b3-402d-9ab5-0ad5e71ad2fb";12
"5df9f7e1-405b-4441-bbe2-3353ec68b8c5";befe5fb0-02a6-41e8-9a67-9ac836405eab;19
"5df9f7e1-405b-4441-bbe2-3353ec68b8c5";"32e94452-2942-4dc2-a031-a9f05b0ef7d8";39
"5df9f7e1-405b-4441-bbe2-3353ec68b8c5";ee48381d-b369-4007-86f5-43b42280b19b;49
"5df9f7e1-405b-4441-bbe2-3353ec68b8c5";"52bc081f-664a-447e-93f8-81b847e23bd0";48
"5df9f7e1-405b-4441-bbe2-3353ec68b8c5";"2f526be4-9392-45eb-b001-bcc3ad701c6e";96
"5df9f7e1-405b-4441-bbe2-3353ec68b8c5";"622c3296-2f7d-4079-83d8-5b313960e67f";5
"5df9f7e1-405b-4441-bbe2-3353ec68b8c5";"8792ddde-6a6b-41b7-8c50-82688c431d6e";19
"5df9f7e1-405b-4441-bbe2-3353ec68b8c5";ea43b277-9edc-4a7e-acd5-2d9c9a4eab2a;41
"5df9f7e1-405b-4441-bbe2-3353ec68b8c5";"8c77ba67-132f-4e96-9917-bea8b50858bb";9
"91c034b1-f7ca-4219-ac2c-e9b0b1506611";b3a64a7b-3785-410d-8088-3ed66b65951f;50
"91c034b1-f7ca-4219-ac2c-e9b0b1506611";"7fcacc7c-dab8-41c2-861d-b7cecffd12d9";89
"91c034b1-f7ca-4219-ac2c-e9b0b1506611";eacaff02-6ed2-4903-b00d-8c218fc49e64;1
"91c034b1-f7ca-4219-ac2c-e9b0b1506611";"78dd99cb-6983-432c-bcc1-c189ad668672";20
"91c034b1-f7ca-4219-ac2c-e9b0b1506611";"60d34d6a-0653-4b14-bd8c-97beecab8b59";20
"91c034b1-f7ca-4219-ac2c-e9b0b1506611";"18f08568-f9f5-40ff-8982-2688721fbe5c";19
"91c034b1-f7ca-4219-ac2c-e9b0b1506611";"5f90a66f-81ee-4638-bf8e-01f13d63bbe5";67
"91c034b1-f7ca-4219-ac2c-e9b0b1506611";d67cde4d-8ac1-46a6-9702-272ce622271e;35
"91c034b1-f7ca-4219-ac2c-e9b0b1506611";"622c3296-2f7d-4079-83d8-5b313960e67f";27
"91c034b1-f7ca-4219-ac2c-e9b0b1506611";ae7c0a3a-ff0b-4831-9650-395aaea4431e;26
"91c034b1-f7ca-4219-ac2c-e9b0b1506611";c0372982-1700-4b46-b5e6-34da959d733a;29
"91c034b1-f7ca-4219-ac2c-e9b0b1506611";"6b1876ae-9aa9-4e99-9b38-d30b211dacac";5
"91c034b1-f7ca-4219-ac2c-e9b0b1506611";"68e644fe-3e0f-4bf5-90a9-31fb0e084341";86
"91c034b1-f7ca-4219-ac2c-e9b0b1506611";"5460a75a-1ae4-41f4-9087-0bf244546104";91
"91c034b1-f7ca-4219-ac2c-e9b0b1506611";"60a9b0f2-c6ab-429a-946c-f197b476b96e";16
cc57962f-80be-4614-80fc-852da65d29ea;"4038d3ce-1a39-4dab-bb71-3dd7ccd23fcf";81
cc57962f-80be-4614-80fc-852da65d29ea;"6c17164c-69b3-402d-9ab5-0ad5e71ad2fb";51
cc57962f-80be-4614-80fc-852da65d29ea;ace4202a-e6b3-4f7a-9769-8acbaba416c2;100
cc57962f-80be-4614-80fc-852da65d29ea;"87890a58-2643-4a8d-9a93-c83d9f29342a";33
cc57962f-80be-4614-80fc-852da65d29ea;"82c0ab29-0bad-48b0-8f2e-687feaae32cc";52
cc57962f-80be-4614-80fc-852da65d29ea;eae847d1-cf27-4266-a83f-a5d4c2b8202d;20
cc57962f-80be-4614-80fc-852da65d29ea;b3ed152b-ddaf-46ab-958a-310b8e0a1d78;58
cc57962f-80be-4614-80fc-852da65d29ea;"8a6b47ac-ee4e-4839-8498-13f7bb0cc78d";91
cc57962f-80be-4614-80fc-852da65d29ea;"60371e56-8d8e-4a6d-8829-8b711ebc1bb2";67
cc57962f-80be-4614-80fc-852da65d29ea;"893ecb02-eba0-4c3b-9e13-70ff6ff62512";22
cc57962f-80be-4614-80fc-852da65d29ea;"9687a3fd-7711-41f9-af04-84ba3ad743f6";95
cc57962f-80be-4614-80fc-852da65d29ea;"74734eff-5e04-4c7b-969a-305841ee6f6b";55
cc57962f-80be-4614-80fc-852da65d29ea;"940dddf2-cd23-497d-bcf7-3c5c60c26a5c";55
"07b159c9-bdf2-4a06-8059-f191299509d4";"6df12047-e84e-4154-9f71-b903632a7524";35
"07b159c9-bdf2-4a06-8059-f191299509d4";"893ecb02-eba0-4c3b-9e13-70ff6ff62512";61
"07b159c9-bdf2-4a06-8059-f191299509d4";a39863a0-ebd9-4034-bee6-c7fa65d8d029;73
"07b159c9-bdf2-4a06-8059-f191299509d4";"18f08568-f9f5-40ff-8982-2688721fbe5c";81
"07b159c9-bdf2-4a06-8059-f191299509d4";"940dddf2-cd23-497d-bcf7-3c5c60c26a5c";30
"07b159c9-bdf2-4a06-8059-f191299509d4";"5460a75a-1ae4-41f4-9087-0bf244546104";39
"07b159c9-bdf2-4a06-8059-f191299509d4";"8a6b47ac-ee4e-4839-8498-13f7bb0cc78d";66
"07b159c9-bdf2-4a06-8059-f191299509d4";"6b1876ae-9aa9-4e99-9b38-d30b211dacac";14
"07b159c9-bdf2-4a06-8059-f191299509d4";"5f0f5476-4828-450c-b4eb-bb25dc1dc45e";91
"07b159c9-bdf2-4a06-8059-f191299509d4";d67cde4d-8ac1-46a6-9702-272ce622271e;64
"07b159c9-bdf2-4a06-8059-f191299509d4";"0d04d7e7-2573-4061-9f44-82303830fea3";15
"07b159c9-bdf2-4a06-8059-f191299509d4";"84ad9234-4dcd-47ab-bf4e-476cfdf0260d";14
"07b159c9-bdf2-4a06-8059-f191299509d4";"4a74fd80-452a-480a-8ba5-484a70eb55ef";65
"07b159c9-bdf2-4a06-8059-f191299509d4";"357fa439-3464-438b-aea2-8ccac3c72459";78
"07b159c9-bdf2-4a06-8059-f191299509d4";"7fcacc7c-dab8-41c2-861d-b7cecffd12d9";77
"07b159c9-bdf2-4a06-8059-f191299509d4";"5f90a66f-81ee-4638-bf8e-01f13d63bbe5";37
"07b159c9-bdf2-4a06-8059-f191299509d4";"72c875f2-6dff-4b0b-95b1-21d120639675";88
"07b159c9-bdf2-4a06-8059-f191299509d4";eae847d1-cf27-4266-a83f-a5d4c2b8202d;40
"07b159c9-bdf2-4a06-8059-f191299509d4";"52bc081f-664a-447e-93f8-81b847e23bd0";90
"07b159c9-bdf2-4a06-8059-f191299509d4";"5c207c8b-2bf9-441f-a8cb-d633d7dc945c";63
"07b159c9-bdf2-4a06-8059-f191299509d4";"79dcf63d-42b3-4edb-851b-3eb6367ea162";31
"07b159c9-bdf2-4a06-8059-f191299509d4";"60a9b0f2-c6ab-429a-946c-f197b476b96e";30
"07b159c9-bdf2-4a06-8059-f191299509d4";c296a085-57b6-48a1-a8db-23b6a3330084;65
"07b159c9-bdf2-4a06-8059-f191299509d4";"6490c58c-84a1-4b4c-a6cb-ff876334307d";16
"07b159c9-bdf2-4a06-8059-f191299509d4";"8febdd51-5205-4226-8555-383defe0d06a";34
"07b159c9-bdf2-4a06-8059-f191299509d4";"56bce226-a545-4c28-94e6-ab9bc8da2b44";66
"07b159c9-bdf2-4a06-8059-f191299509d4";"32e94452-2942-4dc2-a031-a9f05b0ef7d8";78
"07b159c9-bdf2-4a06-8059-f191299509d4";"2f526be4-9392-45eb-b001-bcc3ad701c6e";61
"07b159c9-bdf2-4a06-8059-f191299509d4";"7c158f56-5ab6-47cf-803d-70f921432f69";73
"07b159c9-bdf2-4a06-8059-f191299509d4";"8792ddde-6a6b-41b7-8c50-82688c431d6e";23
"07b159c9-bdf2-4a06-8059-f191299509d4";"60371e56-8d8e-4a6d-8829-8b711ebc1bb2";57
"07b159c9-bdf2-4a06-8059-f191299509d4";ae7c0a3a-ff0b-4831-9650-395aaea4431e;90
"07b159c9-bdf2-4a06-8059-f191299509d4";c0372982-1700-4b46-b5e6-34da959d733a;99
"07b159c9-bdf2-4a06-8059-f191299509d4";b3a64a7b-3785-410d-8088-3ed66b65951f;51
"07b159c9-bdf2-4a06-8059-f191299509d4";befe5fb0-02a6-41e8-9a67-9ac836405eab;29
"07b159c9-bdf2-4a06-8059-f191299509d4";"8c77ba67-132f-4e96-9917-bea8b50858bb";7
"07b159c9-bdf2-4a06-8059-f191299509d4";"6105feb6-2f58-455a-be11-2ca747be085b";91
"07b159c9-bdf2-4a06-8059-f191299509d4";"76121ac1-1cd5-4a37-ab91-21dcb3cbb7e6";89
"07b159c9-bdf2-4a06-8059-f191299509d4";"6c17164c-69b3-402d-9ab5-0ad5e71ad2fb";99
"07b159c9-bdf2-4a06-8059-f191299509d4";"3ab63e17-d66b-4f6d-95d5-01d57011204b";90
"07b159c9-bdf2-4a06-8059-f191299509d4";"5e9cf1f1-3ca2-45ca-aa90-cae519b892bb";87
"07b159c9-bdf2-4a06-8059-f191299509d4";"4038d3ce-1a39-4dab-bb71-3dd7ccd23fcf";20
"07b159c9-bdf2-4a06-8059-f191299509d4";"212761fd-e4e9-4a92-b566-8c85f0942b70";46
"07b159c9-bdf2-4a06-8059-f191299509d4";"251e18ed-0c76-4885-9f03-fa9530ab46d3";80
"07b159c9-bdf2-4a06-8059-f191299509d4";"331e681e-3bb4-4027-86bf-f4362421700b";13
"07b159c9-bdf2-4a06-8059-f191299509d4";b3ed152b-ddaf-46ab-958a-310b8e0a1d78;54
"07b159c9-bdf2-4a06-8059-f191299509d4";c179e87a-7cf3-47e4-8b4d-5e53f0693759;49
"07b159c9-bdf2-4a06-8059-f191299509d4";c0c4b250-14c3-424a-bc7d-741cf3e9de14;51
"07b159c9-bdf2-4a06-8059-f191299509d4";"81775791-0811-4261-be95-ea080c0caf32";94
"07b159c9-bdf2-4a06-8059-f191299509d4";"7bd790cd-65f3-4184-ae09-87d502561f4b";76
"07b159c9-bdf2-4a06-8059-f191299509d4";c36ad473-0578-4d47-a3bf-c1bc4d716055;65
"07b159c9-bdf2-4a06-8059-f191299509d4";b8e80aad-659a-4d5e-9dd4-d2f0ef477c1d;93
"07b159c9-bdf2-4a06-8059-f191299509d4";a7053e7b-1c15-4df7-a0ae-fb811ff7e3cf;60
"07b159c9-bdf2-4a06-8059-f191299509d4";"9a72adc9-07e9-4946-8128-e9305505ef30";44
"07b159c9-bdf2-4a06-8059-f191299509d4";"74734eff-5e04-4c7b-969a-305841ee6f6b";5
"07b159c9-bdf2-4a06-8059-f191299509d4";ace4202a-e6b3-4f7a-9769-8acbaba416c2;43
